SKU,Return_7_days,Return_30_days,Return_60_days,Return_90_days,Total_Returns,Return_Growth
MN-01,0.0,9,18,26,53.0,26.0
MN-02,0.0,4,14,24,42.0,24.0
MN-03,1.0,4,10,13,28.0,12.0
MN-04,1.0,4,6,16,27.0,15.0
MN-09,0.0,2,7,11,20.0,11.0
MN-08,0.0,3,4,6,13.0,6.0
MN-10,2.0,9,11,19,41.0,17.0
MN-11,3.0,6,8,10,27.0,7.0
MN-12,4.0,13,17,24,58.0,20.0
MN-13,2.0,4,11,16,33.0,14.0
MN-14,23.0,79,112,145,359.0,122.0
MN-15,16.0,44,79,111,250.0,95.0
MN-16,2.0,10,23,31,66.0,29.0
MN-17,0.0,2,6,15,23.0,15.0
MN-18,6.0,18,40,53,117.0,47.0
MN-19,7.0,24,40,59,130.0,52.0
MN-20,8.0,22,51,81,162.0,73.0
MN-21,7.0,25,38,51,121.0,44.0
MN-22,8.0,21,32,45,106.0,37.0
MN-23,7.0,22,44,66,139.0,59.0
MN-24,0.0,8,34,43,85.0,43.0
MN-25,21.0,73,126,167,387.0,146.0
MN-26,12.0,30,99,119,260.0,107.0
MN-27,8.0,21,34,50,113.0,42.0
MN-28,11.0,45,101,137,294.0,126.0
MN-29,16.0,72,142,237,467.0,221.0
MN-30,1.0,8,20,33,62.0,32.0
MN-31,2.0,7,15,29,53.0,27.0
MN-32,11.0,16,21,28,76.0,17.0
MN-33,3.0,13,24,28,68.0,25.0
MN-34,6.0,14,21,44,85.0,38.0
MN-35,2.0,8,20,28,58.0,26.0
MN-36,6.0,36,68,96,206.0,90.0
MN-37,5.0,9,18,24,56.0,19.0
MN-38,1.0,21,42,67,131.0,66.0
MN-39,12.0,4,7,10,33.0,-2.0
MN-40,9.0,38,63,98,208.0,89.0
MN-41,7.0,12,28,57,104.0,50.0
MN-42,5.0,28,48,83,164.0,78.0
MN-43,3.0,5,12,16,36.0,13.0
MN-44,2.0,7,11,17,37.0,15.0
MN-48,1.0,1,2,7,11.0,6.0
MN-49,1.0,7,14,27,49.0,26.0
MN-45,1.0,3,11,15,30.0,14.0
MN-46,1.0,3,8,11,23.0,10.0
MN-47,1.0,10,11,17,39.0,16.0
MN-50,0.0,10,18,25,53.0,25.0
MN-07,1.0,4,8,15,28.0,14.0
MN-05,2.0,4,4,6,16.0,4.0
MN-06,1.0,2,3,3,9.0,2.0
