SKU,total-inventory,available,reserved-quantity,unfulfillable-quantity,inbound-shipped,inbound-received,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,aged_inventory_90_plus,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,sell-through,days-of-supply,weeks-of-cover-t30,weeks-of-cover-t90,reserved_ratio,dead_stock,overstock,stockout_risk
MN-01,382.0,264,68,1,40,9,12,261,56,0,59,203,386,574,1.33,47,6,7,0.17801047120418848,False,False,False
MN-02,306.0,206,18,0,80,2,127,91,17,0,29,155,261,417,1.56,85,7,8,0.058823529411764705,False,False,False
MN-03,139.0,95,3,1,40,0,42,8,62,0,13,67,116,179,1.16,83,8,9,0.02158273381294964,False,False,False
MN-04,171.0,70,13,0,80,8,3,84,0,0,18,71,128,187,1.65,99,8,10,0.07602339181286549,False,False,False
MN-05,283.0,0,234,0,0,49,53,141,0,0,249,491,543,557,1.47,145,0,1,0.8268551236749117,False,False,True
MN-06,21.0,1,20,0,0,0,8,40,0,0,61,131,150,173,1.23,0,0,0,0.9523809523809523,True,False,True
MN-07,144.0,134,7,3,0,0,51,45,55,0,15,95,150,220,1.25,59,5,7,0.04861111111111111,False,False,False
MN-08,255.0,95,8,0,152,0,4,42,41,0,2,10,18,36,0.37,103,98,89,0.03137254901960784,False,True,False
MN-09,211.0,207,3,1,0,0,3,1,203,0,3,19,38,66,0.36,57,43,40,0.014218009478672985,False,True,False
MN-10,363.0,102,45,0,200,16,96,10,43,0,25,122,177,231,1.17,150,10,17,0.12396694214876033,False,True,False
MN-11,230.0,124,6,0,100,0,5,133,0,0,12,101,141,215,1.43,159,8,13,0.02608695652173913,False,True,False
MN-12,259.0,87,69,3,100,0,93,56,0,0,48,194,291,354,1.69,74,3,6,0.26640926640926643,False,False,False
MN-13,452.0,280,68,1,100,3,276,99,0,0,49,242,355,466,1.49,78,6,10,0.1504424778761062,False,False,False
MN-14,529.0,471,46,12,0,0,551,0,0,0,86,663,1032,1362,1.93,35,2,4,0.08695652173913043,False,False,False
MN-15,1324.0,814,114,2,380,14,764,240,0,0,216,1008,1688,2328,1.91,64,4,6,0.08610271903323263,False,False,False
MN-16,387.0,256,28,1,100,2,133,113,69,0,30,176,315,465,1.28,89,8,10,0.07235142118863049,False,False,False
MN-17,400.0,256,65,15,60,4,415,0,0,0,96,461,627,794,1.83,57,2,5,0.1625,False,False,False
MN-18,458.0,261,26,5,160,6,108,225,0,0,21,273,482,761,1.81,90,6,7,0.056768558951965066,False,False,False
MN-19,459.0,342,115,2,0,1,70,429,0,0,122,565,994,1485,1.83,15,2,3,0.25054466230936817,False,False,False
MN-20,1039.0,712,68,3,256,0,159,684,0,0,124,526,1000,1494,1.15,66,7,8,0.06544754571703561,False,False,False
MN-21,18.0,2,15,1,0,0,23,16,0,0,41,235,432,553,3.18,0,0,0,0.8333333333333334,True,False,True
MN-22,395.0,252,38,1,100,4,268,63,0,0,78,355,553,733,1.85,51,4,6,0.09620253164556962,False,False,False
MN-23,547.0,285,20,2,240,0,227,122,0,0,86,326,496,691,1.64,73,6,9,0.03656307129798903,False,False,False
MN-24,424.0,292,30,0,100,2,210,48,87,0,43,200,310,468,1.37,106,7,10,0.07075471698113207,False,False,False
MN-25,1645.0,341,138,25,1100,41,74,482,0,0,233,1729,3336,4300,3.0,41,3,4,0.08389057750759879,False,False,False
MN-26,1142.0,1079,55,3,0,5,456,756,0,0,132,515,1026,1596,1.64,80,8,8,0.04816112084063047,False,False,False
MN-27,838.0,772,42,0,0,24,696,163,0,0,129,542,932,1320,1.83,82,5,7,0.050119331742243436,False,False,False
MN-28,1327.0,1043,70,7,200,7,55,1202,0,0,198,767,1586,2404,1.65,67,6,6,0.05275056518462698,False,False,False
MN-29,924.0,815,97,0,0,12,260,673,0,0,132,545,988,1451,1.6,77,6,7,0.10497835497835498,False,False,False
MN-30,404.0,254,44,1,100,5,139,104,68,0,29,245,423,612,1.44,65,5,7,0.10891089108910891,False,False,False
MN-31,300.0,199,15,0,80,6,15,207,0,0,24,120,211,331,1.61,118,9,11,0.05,False,False,False
MN-32,338.0,230,27,0,80,1,71,215,0,0,47,176,329,505,1.76,88,7,8,0.07988165680473373,False,False,False
MN-33,326.0,153,20,1,120,32,25,166,0,0,31,177,270,371,1.61,95,6,10,0.06134969325153374,False,False,False
MN-34,753.0,498,86,4,160,5,21,610,0,0,107,255,569,966,1.31,88,10,8,0.11420982735723771,False,False,False
MN-35,267.0,168,30,0,60,9,98,130,0,0,24,151,246,381,1.82,82,6,8,0.11235955056179775,False,False,False
MN-36,1382.0,784,91,2,500,5,523,472,0,0,211,976,1556,2191,1.77,79,5,7,0.0658465991316932,False,False,False
MN-37,221.0,123,57,1,40,0,128,9,47,0,22,134,192,249,1.25,116,4,8,0.2579185520361991,False,False,False
MN-38,991.0,861,56,1,0,73,587,373,0,0,114,429,954,1509,1.8,76,8,8,0.056508577194752774,False,False,False
MN-39,58.0,22,36,0,216,0,52,2,23,0,52,157,218,288,1.56,95,6,10,0.6206896551724138,False,False,False
MN-40,655.0,407,67,0,0,181,356,155,0,0,85,337,613,893,1.74,84,6,8,0.10229007633587786,False,False,False
MN-41,935.0,694,61,11,150,19,22,831,0,0,142,535,953,1443,1.52,75,6,7,0.06524064171122995,False,False,False
MN-42,752.0,673,66,3,0,10,328,206,258,0,83,252,709,1224,1.42,86,10,7,0.08776595744680851,False,False,False
MN-43,166.0,123,43,0,0,0,110,12,51,0,25,100,162,217,1.24,74,4,7,0.25903614457831325,False,False,False
MN-44,130.0,96,16,1,0,17,69,54,0,0,14,57,96,133,0.85,99,7,11,0.12307692307692308,False,False,False
MN-45,159.0,82,12,0,48,17,51,55,0,0,20,71,204,328,2.02,63,8,5,0.07547169811320754,False,False,False
MN-46,177.0,109,15,1,48,4,77,52,0,0,19,78,117,173,1.4,103,8,12,0.0847457627118644,False,False,False
MN-47,256.0,241,15,0,0,0,11,82,169,0,12,54,158,271,0.96,89,17,11,0.05859375,False,False,False
MN-48,210.0,196,13,0,0,1,1,163,45,0,26,67,158,265,1.19,84,11,9,0.06190476190476191,False,False,False
MN-49,196.0,156,18,1,0,21,10,182,0,0,30,129,277,404,1.89,40,5,5,0.09183673469387756,False,False,False
MN-50,217.0,76,73,1,60,7,89,86,0,0,49,148,254,378,1.92,49,3,4,0.33640552995391704,False,False,False
